diameters_217,diameters_398,diameters_1023,loop_diameter_398_2loop,loop_diameter_398_3loop,startSites_217nm,startSites_398nm,startSites_398_2loop,startSites_398_3loop,startSites_1023nm
46.8,34,85,21,25,0.12381,0.17109,0.18289,0.10574,0.247144
43,40,82,27,12,0,0.29679,0.099715,0.19372,0.0872340425531915
35.2,71,40,28,26,0,0.33422,0,0.13272,0.374468085106383
41.4,59,50,15,17,0.19126,0.18717,0.17737,0.13854,0.280628272251309
41.7667833931625,97,49,19,23,0.14563,0.25758,0,0,0.349524815205913
21.5650295518468,76,58,19,19,0.17842,0.14948,0.24478,0.14894,0.0258717660292463
26.4144318456657,44,115,20,18,0,0.22563,0.1682,0,0.0163934426229508
45.8065394646082,21,49,19,22,0,0.064426,0.15714,0,0.0249500998003992
36.7738603630498,33,65,34,33,0,0.033742,0.08498600000000001,0,0
47,44,114,33,34,0.1694,0.061497,0.22938,0,0.0924453280318092
21.5650295518468,30,133,12,18,0,0.26216,0.3211,0,0
23.132585789359,84,29,17,28,0.27103,0.31622,0,0.095522,0.157187176835574
32,30,74,34,19,0.09174300000000001,0,0.1374,0,0.24687800192123
52.9872610182227,53,68,22,20,0.24336,0.29877,0.14697,0.067332,0.0107317073170732
20.6965689049831,65,31,32,24,0.22973,0,0,0,0.110690633869442
40.5149492762616,37,39,27,22,0.26699,0.22404,0,0,0.375121477162294
19.7521741059614,34,17,28,24,0.19598,0.13277,0.14486,0,0
23.8506670874727,21,34,45,8,0.22174,0.035821,0.12392,0.20603,0.131767109295199
51.9274049349336,75,143,20,22,0.22174,0.2953,0.15493,0,0.364520048602673
16.1154548886499,44,34,26,19,0.22078,0,0.12349,0.17918,0.1298828125
48.9382229228775,39,17,42,56,0.21429,0.17664,0.28037,0,0.296296296296296
32.4207814382415,29,83,33,18,0.2844,0.19786,0.12836,0.042793,0.264600715137068
16.1154548886499,28,31,56,23,0.16055,0.32051,0,0.17188,0.154628687690743
21.5650295518468,34,65,23,13,0.34513,0,0,0.12564,0.257345491388045
20.6965689049831,26,36,38,24,0.33333,0.25936,0,0,0.375294117647059
23.132585789359,46,176,32,29,0.34101,0.33862,0,0,0.330943847072879
17.5218898925948,46,40,34,21,0.26126,0.30485,0.083591,0.07960200000000001,0.06524317912218271
28.631291136538,35,61,17,22,0.17568,0,0,0.095679,0.279515640766902
23.8506670874727,40,25,21,23,0.17949,0.25672,0,0.12836,0.0591647331786543
24,22,60,26,22,0.16667,0.086592,0,0.19375,0
20.6965689049831,27,38,47,16,0,0.14379,0.16875,0,0.323404255319149
26.9955513622287,21,25,22,20,0.20476,0.18919,0.098237,0,0.0510083036773428
31.982618472461,35,50,26,15,0.2657,0,0.10104,0.097257,0.402489626556017
18.7075694478079,30,82,19,11,0.12857,0.04644,0,0.15159,0.21179302045728
18.7075694478079,44,89,28,15,0.1102,0.24372,0.29894,0,0.152625152625153
20.6965689049831,95,22,25,23,0.133,0.24375,0,0,0.182839632277835
