Image Number,Two Loop Flower,Three Loop Flower,Other
1,,,0
2,,,0
3,,,0
4,,,0
5,,,0
6,,,0
7,,0,
8,,,0
9,,,0
10,,,0
11,,,0
12,,,0
13,,,0
14,40,,
15,,,0
16,,,0
17,40,,
18,,0,
19,,,0
20,,0,
21,60,,
22,,,0
23,65,,
24,45,,
25,40,,
26,,,0
27,,,0
28,,,0
29,,,0
30,,,0
31,,,0
32,0,,
33,,,0
34,,30,
35,,,0
36,,,0
37,,,0
38,45,,
39,,,0
40,,,0
41,0,,
42,,,0
43,50,,
44,70,,
45,,,0
46,,,0
47,,,0
48,,,0
49,,,0
50,50,,
51,,,0
52,,45,
53,,,0
54,40,,
55,85,,
56,,,0
57,,50,
58,,,0
59,50,,
60,,,0
61,25,,
62,,,0
63,0,,
64,80,,
65,,,0
66,,,0
67,0,,
68,,,0
69,,,0
70,60,,
71,,,0
72,,,0
73,,,0
74,,,0
75,,,0
76,,,0
77,,,0
78,,,0
79,,,0
80,,,0
81,,,0
82,,,0
83,,,0
84,,,0
85,,,0
86,,,0
87,60,,
88,,,0
89,,,0
90,,,0
91,,,0
92,80,,
93,,,0
94,,,0
95,0,,
96,,,0
97,,,0
98,,,0
99,50,,
100,,,0
101,,,0
102,,,0
103,,,0
104,,,0
105,,,0
106,85,,
107,,,0
108,,,0
109,,,0
110,,,0
111,,,0
112,,,0
113,70,,
114,,0,
115,80,,
116,50,,
117,,,0
118,,,0
119,,,0
120,,,0
121,,,0
122,,,0
123,,,0
124,,,0
125,0,,
126,,,0
127,,,0
128,0,,
129,,,0
130,,,0
131,,,0
132,,,0
133,,,0
134,40,,
135,,,0
136,,,0
137,,,0
138,,,0
139,,,0
140,,,0
141,,,0
142,,,0
143,,,0
144,60,,
145,,,0
146,,25,
147,,,0
148,,,0
149,,,0
150,,,0
151,,0,
152,30,,
153,,,0
154,,,0
155,,,0
156,,,0
157,,,0
158,60,,
159,,,0
160,,,0
161,,,0
162,,,0
163,0,,
164,,,0
165,,,0
166,,,0
167,,,0
168,90,,
169,,,0
170,0,,
171,,,0
172,,,0
173,,,0
174,,,0
175,,,0
176,,,0
177,,,0
178,0,,
179,60,,
180,,,0
181,,,0
182,40,,
183,,0,
